Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Publisher,ISSN,ISBN,CODEN,DOI,PubMed ID,Abbreviated Source Title,Document Type,Source
"Aenlle K.K., Kumar A., Cui L., Jackson T.C., Foster T.C.",Estrogen effects on cognition and hippocampal transcription in middle-aged mice,2009,Neurobiology of Aging,30,6,,932,945,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-65249171482&partnerID=40&md5=be2f7e5147819ba55cdd90cd9abe2e9b,,1974580,,NEAGD,10.1016/j.neurobiolaging.2007.09.004,17950954,Neurobiology of Aging,Article,Scopus
"Selwood S.P., Parvathy S., Cordell B., Ryan H.S., Oshidari F., Vincent V., Yesavage J., Lazzeroni L.C., Murphy Jr. G.M.",Gene expression profile of the PDAPP mouse model for Alzheimer's disease with and without Apolipoprotein E,2009,Neurobiology of Aging,30,4,,574,590,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-61649107693&partnerID=40&md5=c04188793acabbca347c6a138160987a,,1974580,,NEAGD,10.1016/j.neurobiolaging.2007.08.006,17904698,Neurobiology of Aging,Article,Scopus
"Bensemain F., Hot D., Ferreira S., Dumont J., Bombois S., Maurage C.-A., Huot L., Hermant X., Levillain E., Hubans C., Hansmannel F., Chapuis J., Hauw J.-J., Schraen S., Lemoine Y., Buee L., Berr C., Mann D., Pasquier F., Amouyel P., Lambert J.-C.",Evidence for induction of the ornithine transcarbamylase expression in Alzheimer's disease,2009,Molecular Psychiatry,14,1,,106,116,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-58049200720&partnerID=40&md5=1e2de4ec6b8672a9adf1d954aa58571a,,13594184,,MOPSF,10.1038/sj.mp.4002089,17893704,Molecular Psychiatry,Article,Scopus
"Baskerville K.A., Kent C., Personett D., Lai W.R., Park P.J., Coleman P., McKinney M.",Aging elevates metabolic gene expression in brain cholinergic neurons,2008,Neurobiology of Aging,29,12,,1874,1893,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-53649089781&partnerID=40&md5=0ea7d31a4056a291646ed278a99bd71f,,1974580,,NEAGD,10.1016/j.neurobiolaging.2007.04.024,17560690,Neurobiology of Aging,Article,Scopus
"Liu Y., Lee K.-F., Ng E.H.Y., Yeung W.S.B., Ho P.-C.",Gene expression profiling of human peri-implantation endometria between natural and stimulated cycles,2008,Fertility and Sterility,90,6,,2152,2164,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-56949085051&partnerID=40&md5=8c62aa1e0df3ffe303ca62798436d485,,150282,,FESTA,10.1016/j.fertnstert.2007.10.020,18191855,Fertility and Sterility,Article,Scopus
"Centlow M., Carninci P., Nemeth K., Mezey E., Brownstein M., Hansson S.R.",Placental expression profiling in preeclampsia: local overproduction of hemoglobin may drive pathological changes,2008,Fertility and Sterility,90,5,,1834,1843,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-55349132052&partnerID=40&md5=234c1b9307f2780da0e698275e1ae0d9,,150282,,FESTA,10.1016/j.fertnstert.2007.09.030,18166190,Fertility and Sterility,Article,Scopus
"Walker L.C., Waddell N., Ten Haaf A., Grimmond S., Spurdle A.B.",Use of expression data and the CGEMS genome-wide breast cancer association study to identify genes that may modify risk in BRCA1/2 mutation carriers,2008,Breast Cancer Research and Treatment,112,2,,229,236,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-53949111816&partnerID=40&md5=0c2c9eb1afc7bfd2f89b9fcc513e715c,,1676806,,BCTRD,10.1007/s10549-007-9848-5,18095154,Breast Cancer Research and Treatment,Article,Scopus
"Ka H., Seo H., Kim M., Moon S., Kim H., Lee C.-K.",Gene expression profiling of the uterus with embryos cloned by somatic cell nuclear transfer on day 30 of pregnancy,2008,Animal Reproduction Science,108,2-Jan,,79,91,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-49549115761&partnerID=40&md5=911a8362891f2e95393fdddc68b1cb98,,3784320,,ANRSD,10.1016/j.anireprosci.2007.07.008,17768018,Animal Reproduction Science,Article,Scopus
"Chang X.-Z., Li D.-Q., Hou Y.-F., Wu J., Lu J.-S., Di G.-H., Jin W., Ou Z.-L., Shen Z.-Z., Shao Z.-M.",Identification of the functional role of AF1Q in the progression of breast cancer,2008,Breast Cancer Research and Treatment,111,1,,65,78,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-47549095881&partnerID=40&md5=546666181d896273c27ff9cd5e0b91bd,,1676806,,BCTRD,10.1007/s10549-007-9761-y,17929166,Breast Cancer Research and Treatment,Article,Scopus
"Wang X., Southard R.C., Allred C.D., Talbert D.R., Wilson M.E., Kilgore M.W.",MAZ drives tumor-specific expression of PPAR gamma 1 in breast cancer cells,2008,Breast Cancer Research and Treatment,111,1,,103,111,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-47549116570&partnerID=40&md5=dc2b27667de2974421b5a2c79584b041,,1676806,,BCTRD,10.1007/s10549-007-9765-7,17902047,Breast Cancer Research and Treatment,Article,Scopus
"Evans C.-O., Moreno C.S., Zhan X., McCabe M.T., Vertino P.M., Desiderio D.M., Oyesiku N.M.","Molecular pathogenesis of human prolactinomas identified by gene expression profiling, RT-qPCR, and proteomic analyses",2008,Pituitary,11,3,,231,245,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-47249156807&partnerID=40&md5=f8594c8626063da2af46810ecebade9a,,1386341X,,PITUF,10.1007/s11102-007-0082-2,18183490,Pituitary,Article,Scopus
"Kotzsch M., Sieuwerts A.M., Grosser M., Meye A., Fuessel S., Meijer-Van Gelder M.E., Smid M., Schmitt M., Baretton G., Luther T., Magdolen V., Foekens J.A.",Urokinase receptor splice variant uPAR-del4/5-associated gene expression in breast cancer: Identification of rab31 as an independent prognostic factor,2008,Breast Cancer Research and Treatment,111,2,,229,240,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-48149112465&partnerID=40&md5=7b95e805e034e5b4b49659fa8b9efb01,,1676806,,BCTRD,10.1007/s10549-007-9782-6,17952591,Breast Cancer Research and Treatment,Article,Scopus
"Hegde A., Qiu N.C., Qiu X., Ho S.H., Tay K.Q., George J., Ng F.S., Govindarajan K.R., Gong Z., Mathavan S., Jiang Y.J.",Genomewide expression analysis in zebrafish mind bomb alleles with pancreas defects of different severity identifies putative Notch responsive genes.,2008,PLoS ONE,3,1,,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-48849116102&partnerID=40&md5=cf5bcea78433129b23e1aaaa31b3dd6f,,19326203,,,10.1371/journal.pone.0001479,18213387,PLoS ONE,Article,Scopus
"Xu Z., Le K., Moghadasian M.H.",Long-term phytosterol treatment alters gene expression in the liver of apo E-deficient mice,2008,Journal of Nutritional Biochemistry,19,8,,545,554,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-46749113137&partnerID=40&md5=d7ea472ce9de85b902fdbfcdcecf428f,,9552863,,JNBIE,10.1016/j.jnutbio.2007.06.012,18155511,Journal of Nutritional Biochemistry,Article,Scopus
"Ramery E., Closset R., Bureau F., Art T., Lekeux P.",Relevance of using a human microarray to study gene expression in heaves-affected horses,2008,Veterinary Journal,177,2,,216,221,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-44849090919&partnerID=40&md5=108451a950f659011120aefc14610285,,10900233,,VTJRF,10.1016/j.tvjl.2007.04.020,17574458,Veterinary Journal,Article,Scopus
"Lavigne J.A., Takahashi Y., Chandramouli G.V.R., Liu H., Perkins S.N., Hursting S.D., Wang T.T.Y.",Concentration-dependent effects of genistein on global gene expression in MCF-7 breast cancer cells: An oligo microarray study,2008,Breast Cancer Research and Treatment,110,1,,85,98,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-44849119091&partnerID=40&md5=433afc82533299d7579fc95cbeb23cac,,1676806,,BCTRD,10.1007/s10549-007-9705-6,17687646,Breast Cancer Research and Treatment,Article,Scopus
"Abdel-Aziz H.O., Murai Y., Takasaki I., Tabuchi Y., Zheng H.-C., Nomoto K., Takahashi H., Tsuneyama K., Kato I., Hsu D.K., Liu F.-T., Hiraga K., Takano Y.",Targeted disruption of the galectin-3 gene results in decreased susceptibility to NNK-induced lung tumorigenesis: An oligonucleotide microarray study,2008,Journal of Cancer Research and Clinical Oncology,134,7,,777,788,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-43449131256&partnerID=40&md5=cf9b67a1e96a8cd070326aac16c7e7b7,,1715216,,JCROD,10.1007/s00432-007-0345-3,18204863,Journal of Cancer Research and Clinical Oncology,Article,Scopus
"Washiro M., Ohtsuka M., Kimura F., Shimizu H., Yoshidome H., Sugimoto T., Seki N., Miyazaki M.",Upregulation of topoisomerase IIα expression in advanced gallbladder carcinoma: A potential chemotherapeutic target,2008,Journal of Cancer Research and Clinical Oncology,134,7,,793,801,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-43449084088&partnerID=40&md5=e59bd236d5e9a929d9b53ec0a2546b53,,1715216,,JCROD,10.1007/s00432-007-0348-0,18204862,Journal of Cancer Research and Clinical Oncology,Article,Scopus
"Levin M.E., Jin J.G., Ji R.-R., Tong J., Pomonis J.D., Lavery D.J., Miller S.W., Chiang L.W.",Complement activation in the peripheral nervous system following the spinal nerve ligation model of neuropathic pain,2008,Pain,137,1,,182,201,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-46549089778&partnerID=40&md5=6cf3fb91f9e495661bce1baeaeac8de0,,3043959,,PAIND,10.1016/j.pain.2007.11.005,18160218,Pain,Article,Scopus
"Wang Z., Beach D., Su L., Zhai R., Christiani D.C.",A genome-wide expression analysis in blood identifies pre-elafin as a biomarker in ARDS,2008,American Journal of Respiratory Cell and Molecular Biology,38,6,,724,732,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-45249113711&partnerID=40&md5=a4b25aaefe54130bf20032c55983c323,,10441549,,AJRBE,10.1165/rcmb.2007-0354OC,18203972,American Journal of Respiratory Cell and Molecular Biology,Article,Scopus
"Marsh E.E., Lin Z., Yin P., Milad M., Chakravarti D., Bulun S.E.",Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium,2008,Fertility and Sterility,89,6,,1771,1776,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-44349113451&partnerID=40&md5=4d4371cc31d5becccc16e78181c2e087,,150282,,FESTA,10.1016/j.fertnstert.2007.05.074,17765232,Fertility and Sterility,Article,Scopus
"Park S., Ely R.L.",Genome-wide transcriptional responses of Nitrosomonas europaea to zinc,2008,Archives of Microbiology,189,6,,541,548,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-43449104759&partnerID=40&md5=40ce4f2dcda20e0379e45ef09ab576bb,,3028933,,AMICC,10.1007/s00203-007-0341-7,18097650,Archives of Microbiology,Article,Scopus
"Isoda K., Folco E., Marwali M.R., Ohsuzu F., Libby P.",Glycated LDL increases monocyte CC chemokine receptor 2 expression and monocyte chemoattractant protein-1-mediated chemotaxis,2008,Atherosclerosis,198,2,,307,312,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-43949100320&partnerID=40&md5=b0faba6ac14e4e16d12169eca274ba74,,219150,,ATHSB,10.1016/j.atherosclerosis.2007.10.035,18164016,Atherosclerosis,Article,Scopus
"Siriwardhana N., Choudhary S., Wang H.-C.R.",Precancerous model of human breast epithelial cells induced by NNK for prevention,2008,Breast Cancer Research and Treatment,109,3,,427,441,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-43749093726&partnerID=40&md5=75cc0daa986c4905546a42f430db567d,,1676806,,BCTRD,10.1007/s10549-007-9666-9,17653854,Breast Cancer Research and Treatment,Article,Scopus
"Li S., Xiao X., Sun P., Wang F.",Screening of genes regulated by cold shock in Shewanella piezotolerans WP3 and time course expression of cold-regulated genes,2008,Archives of Microbiology,189,6,,549,556,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-43449089812&partnerID=40&md5=5aa5647aecf581818d25d2ee75d1c892,,3028933,,AMICC,10.1007/s00203-007-0347-1,18193200,Archives of Microbiology,Article,Scopus
"Howarth K.D., Blood K.A., Ng B.L., Beavis J.C., Chua Y., Cooke S.L., Raby S., Ichimura K., Collins V.P., Carter N.P., Edwards P.A.W.",Array painting reveals a high frequency of balanced translocations in breast cancer cell lines that break in cancer-relevant genes,2008,Oncogene,27,23,,3345,3359,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-44349125900&partnerID=40&md5=7313da65a8395ca73e6e6b95837ecc8b,,9509232,,ONCNE,10.1038/sj.onc.1210993,18084325,Oncogene,Article,Scopus
"Toulza F., Heaps A., Tanaka Y., Taylor G.P., Bangham C.R.M.",High frequency of CD4<sup>+</sup>FoxP3<sup>+</sup> cells in HTLV-1 infection: Inverse correlation with HTLV-l-specific CTL response,2008,Blood,111,10,,5047,5053,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-46749100265&partnerID=40&md5=ea2a2308d6041189ca74455d35c1c974,,64971,,BLOOA,10.1182/blood-2007-10-118539,18094326,Blood,Article,Scopus
"Forsman M., Paakkonen V., Tjaderhane L., Vuoristo J., Kallioinen L., Salo T., Kallioinen M., Ryhanen J.",The Expression of Myoglobin and ROR2 Protein in Dupuytren's Disease,2008,Journal of Surgical Research,146,2,,271,275,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-41849118806&partnerID=40&md5=96097acf3bc162d10e647a8ed17aa361,,224804,,JSGRA,10.1016/j.jss.2007.06.022,17996904,Journal of Surgical Research,Article,Scopus
"Gu X., Coates P.J., Boldrup L., Nylander K.",p63 contributes to cell invasion and migration in squamous cell carcinoma of the head and neck,2008,Cancer Letters,263,1,,26,34,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-41149148052&partnerID=40&md5=6a9fc4473ef6c9ffdff7fcdada06f01c,,3043835,,CALED,10.1016/j.canlet.2007.12.011,18194839,Cancer Letters,Article,Scopus
"Amisten S., Braun O.O., Bengtsson A., Erlinge D.",Gene expression profiling for the identification of G-protein coupled receptors in human platelets,2008,Thrombosis Research,122,1,,47,57,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-42649146229&partnerID=40&md5=bd8c097c2d19afddde1f3a2ecc876fa0,,493848,,THBRA,10.1016/j.thromres.2007.08.014,17920662,Thrombosis Research,Article,Scopus
"Chen X., Ehrhardt W.M., Halberg R.B., Aronow B.J., Dove W.F.",Cellular expression patterns of genes upregulated in murine and human colonic neoplasms,2008,Journal of Histochemistry and Cytochemistry,56,5,,433,441,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-42349088868&partnerID=40&md5=3687d952952cadf74603aeb02cec654f,,221554,,JHCYA,10.1369/jhc.7A7359.2008,18180384,Journal of Histochemistry and Cytochemistry,Article,Scopus
"Byers R.J., Sakhinia E., Joseph P., Glennie C., Hoyland J.A., Menasce L.P., Radford J.A., Illidge T.",Clinical quantitation of immune signature in follicular lymphoma by RT-PCR-based gene expression profiling,2008,Blood,111,9,,4764,4770,,14,http://www.scopus.com/inward/record.url?eid=2-s2.0-46849111407&partnerID=40&md5=7790ed98951fbd8f2ee95637efa128f7,,64971,,BLOOA,10.1182/blood-2007-10-115915,18174380,Blood,Article,Scopus
"Murphy Jr. G., Rouse R.L., Polk W.W., Henk W.G., Barker S.A., Boudreaux M.J., Floyd Z.E., Penn A.L.",Combustion-derived hydrocarbons localize to lipid droplets in respiratory cells,2008,American Journal of Respiratory Cell and Molecular Biology,38,5,,532,540,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-42949121065&partnerID=40&md5=35d90f2de58b2542cd15e3ba7950e418,,10441549,,AJRBE,10.1165/rcmb.2007-0204OC,18079490,American Journal of Respiratory Cell and Molecular Biology,Article,Scopus
"Zaza G., Pontrelli P., Pertosa G., Granata S., Rossini M., Porreca S., Staal F.J.T., Gesualdo L., Grandaliano G., Schena F.P.",Dialysis-related systemic microinflammation is associated with specific genomic patterns,2008,Nephrology Dialysis Transplantation,23,5,,1673,1681,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-44449158609&partnerID=40&md5=5e646a40b0d35d1b6cdd7b81dca5cfb7,,9310509,,NDTRE,10.1093/ndt/gfm804,18048420,Nephrology Dialysis Transplantation,Article,Scopus
"Pierce A., Unwin R.D., Evans C.A., Griffiths S., Carney L., Zhang L., Jaworska E., Lee C.-F., Blinco D., Okoniewski M.J., Miller C.J., Bitton D.A., Spooncer E., Whetton A.D.",Eight-channel iTRAQ enables comparison of the activity of six leukemogenic tyrosine kinases,2008,Molecular and Cellular Proteomics,7,5,,853,863,,27,http://www.scopus.com/inward/record.url?eid=2-s2.0-43849113605&partnerID=40&md5=3a40e6550bf488adca51c787583fbf22,,15359476,,MCPOB,10.1074/mcp.M700251-MCP200,17951628,Molecular and Cellular Proteomics,Article,Scopus
"Guo G.B., Xu C.S.",Expression profiles of the organic acid metabolism-associated genes during rat liver regeneration,2008,Amino Acids,34,4,,597,604,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-43149106243&partnerID=40&md5=b2b3bc074c6f5e4c4b175ff72318f835,,9394451,,AACIE,10.1007/s00726-007-0013-6,18095055,Amino Acids,Article,Scopus
"Zhong Q., Zhang Q., Wang Z., Qi J., Chen Y., Li S., Sun Y., Li C., Lan X.",Expression profiling and validation of potential reference genes during Paralichthys olivaceus embryogenesis,2008,Marine Biotechnology,10,3,,310,318,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-42149171231&partnerID=40&md5=2c8cb9bb2b545c5f07ed319930e1a330,,14362228,,MABIF,10.1007/s10126-007-9064-7,18214610,Marine Biotechnology,Article,Scopus
"Wu Z., Soliman K.M., Bolton J.J., Saha S., Jenkins J.N.",Identification of differentially expressed genes associated with cotton fiber development in a chromosomal substitution line (CS-B22sh),2008,Functional and Integrative Genomics,8,2,,165,174,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-41149093526&partnerID=40&md5=6868c1de79b5ebd7eead9a41e5475459,,1438793X,,FIGUB,10.1007/s10142-007-0064-5,18043952,Functional and Integrative Genomics,Article,Scopus
"Zhou L., Li R., Wang R., Huang H.-x., Zhong K.",Local injury to the endometrium in controlled ovarian hyperstimulation cycles improves implantation rates,2008,Fertility and Sterility,89,5,,1166,1176,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-43449112359&partnerID=40&md5=4940d4bc12978fa2c21b7d157e3c3bbf,,150282,,FESTA,10.1016/j.fertnstert.2007.05.064,17681303,Fertility and Sterility,Article,Scopus
"Wade M.G., Kawata A., Williams A., Yauk C.",Methoxyacetic acid-induced spermatocyte death is associated with histone hyperacetylation in rats,2008,Biology of Reproduction,78,5,,822,831,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-43249131717&partnerID=40&md5=2cd9965f05094ca91aa53e9cb43f33a7,,63363,,BIREB,10.1095/biolreprod.107.065151,18199887,Biology of Reproduction,Article,Scopus
"Wang P., Bowl M.R., Bender S., Peng J., Farber L., Chen J., Ali A., Zhang Z., Alberts A.S., Thakker R.V., Shilatifard A., Williams B.O., Bin T.T.","Parafibromin, a component of the human PAF complex, regulates growth factors and is required for embryonic development and survival in adult mice",2008,Molecular and Cellular Biology,28,9,,2930,2940,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-42349096478&partnerID=40&md5=d2119b72f6d304d2a5a025808ba9be13,,2707306,,MCEBD,10.1128/MCB.00654-07,18212049,Molecular and Cellular Biology,Article,Scopus
"Meng K.T., Dong Q., Miller W.L.",Pathways leading to phosphorylation of P450c17 and to the posttranslational regulation of androgen biosynthesis,2008,Endocrinology,149,5,,2667,2677,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-42449129236&partnerID=40&md5=50845277300b41300b9a3a3b99c95f4c,,137227,,ENDOA,10.1210/en.2007-1527,18187541,Endocrinology,Article,Scopus
"Auslander M., Yudkovski Y., Chalifa-Caspi V., Herut B., Ophir R., Reinhardt R., Neumann P.M., Tom M.",Pollution-affected fish hepatic transcriptome and its expression patterns on exposure to cadmium,2008,Marine Biotechnology,10,3,,250,261,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-42149164999&partnerID=40&md5=3af30e1d6e39c3ee4f1eca04ad03ecf8,,14362228,,MABIF,10.1007/s10126-007-9060-y,18213484,Marine Biotechnology,Article,Scopus
