
<!-- saved from url=(0066)http://72.14.190.127:5984/am/_design/crunch/_list/csv/event_counts -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"></head><body>doi	pubDate	journal	f1000Factor	backtweetsCount	deliciousCount	facebookShareCount	facebookLikeCount	facebookCommentCount	facebookClickCount	mendeleyReadersCount	almBlogsCount	pdfDownloadsCount	xmlDownloadsCount	htmlDownloadsCount	almCiteULikeCount	almScopusCount	almPubMedCount	almCrossRefCount	plosCommentCount	plosCommentResponsesCount	wikipediaCites
10.1371/journal.pbio.0000001	2003-10-13T00:00:00+00:00	pbio	6	0	0	0	0	0	0	4	0	348	71	6131	0	28	7	5	0	0	0
10.1371/journal.pbio.0000002	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	17	0	2436	74	14149	3	141	54	40	0	0	0
10.1371/journal.pbio.0000003	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	220	48	2952	0	1	0	0	0	0	0
10.1371/journal.pbio.0000004	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	55	68	2857	0	0	0	0	0	0	0
10.1371/journal.pbio.0000005	2003-08-18T00:00:00+00:00	pbio	10	0	0	1	0	0	0	32	0	3254	210	21374	6	509	157	115	0	0	2
10.1371/journal.pbio.0000006	2003-08-18T00:00:00+00:00	pbio	false	0	0	0	0	0	0	10	0	1149	100	13789	0	20	1	8	0	0	1
10.1371/journal.pbio.0000007	2003-08-18T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	357	87	6671	1	0	0	0	0	0	0
10.1371/journal.pbio.0000008	2003-10-13T00:00:00+00:00	pbio	false	0	3	2	0	1	0	6	3	1593	234	58785	0	4	1	2	0	0	0
10.1371/journal.pbio.0000009	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	146	91	6772	1	0	1	1	1	0	2
10.1371/journal.pbio.0000010	2003-10-13T00:00:00+00:00	pbio	9	0	0	0	0	0	0	24	0	1937	120	16389	5	157	35	41	0	0	0
10.1371/journal.pbio.0000011	2003-08-18T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	156	70	4645	0	0	0	0	0	0	0
10.1371/journal.pbio.0000012	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	1731	101	15769	4	252	83	48	0	0	0
10.1371/journal.pbio.0000013	2003-09-15T00:00:00+00:00	pbio	false	0	0	0	0	0	0	11	0	841	87	9164	1	99	28	29	0	0	0
10.1371/journal.pbio.0000014	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	8	0	430	75	8574	0	1	0	1	0	0	0
10.1371/journal.pbio.0000015	2003-10-13T00:00:00+00:00	pbio	false	0	2	0	0	0	0	15	0	2810	136	26253	6	12	3	3	0	0	0
10.1371/journal.pbio.0000016	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	10	0	2089	145	19621	1	12	3	4	0	0	0
10.1371/journal.pbio.0000017	2003-10-13T00:00:00+00:00	pbio	false	0	1	0	0	0	0	1	0	421	77	18876	1	24	5	7	0	0	0
10.1371/journal.pbio.0000018	2003-10-13T00:00:00+00:00	pbio	false	0	1	0	0	0	0	4	0	527	83	14771	1	7	0	4	0	0	0
10.1371/journal.pbio.0000019	2003-09-15T00:00:00+00:00	pbio	10	0	0	0	0	0	0	19	0	1960	93	12008	6	167	61	33	0	0	0
10.1371/journal.pbio.0000020	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	5	0	1914	103	15950	1	134	18	50	0	0	0
10.1371/journal.pbio.0000021	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	9	0	778	72	6785	1	42	10	19	0	0	0
10.1371/journal.pbio.0000022	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	591	49	7025	0	2	0	0	0	0	0
10.1371/journal.pbio.0000023	2003-09-15T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	148	65	7492	0	0	0	0	0	0	0
10.1371/journal.pbio.0000024	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	115	64	2770	0	0	0	0	0	0	0
10.1371/journal.pbio.0000025	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	21	0	464	53	3845	0	34	6	8	0	0	0
10.1371/journal.pbio.0000026	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	49	62	3187	0	0	0	0	0	0	0
10.1371/journal.pbio.0000027	2003-10-13T00:00:00+00:00	pbio	false	0	0	2	0	0	0	19	1	2322	250	64676	0	32	5	19	0	0	1
