DOI	Publication Date	Days Since Aug 2009	PMID	Publication Year	Journal	'Research Article' or 'non-Research Article'?	Article Title	Citations - CrossRef	Citations - PubMed Central	Citations - Scopus	Total HTML Page Views	Total PDF Downloads	Total XML Downloads	Combined Usage (HTML + PDF + XML)	Blog Coverage - Postgenomic	Blog Coverage - Nature Blogs	Blog Coverage - Bloglines	Number of Trackbacks	Social Bookmarking - CiteULike	Social Bookmarking - Connotea	Number of Ratings	Average Rating	Number of Note threads	Number of replies to Notes	Number of Comment threads	Number of replies to Comments	Number of 'Star Ratings' that also include a text comment
10.1371/journal.pone.0004091	12/31/08	213	19116663	2008	PLoS ONE	RA	The Maestro (Mro) Gene Is Dispensable for Normal Sexual Development and Fertility in Mice	0	0	0	217	61	2	280	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0004055	12/31/08	213	19116648	2008	PLoS ONE	RA	Comparative Developmental Expression Profiling of Two C. elegans Isolates	0	0	1	564	131	1	696	0	0	0	0	0	1	0	0	0	0	0	0	0
10.1371/journal.pone.0004051	12/29/08	215	19112514	2008	PLoS ONE	RA	Angiogenesis-Related Gene Expression Profile with Independent Prognostic Value in Advanced Ovarian Carcinoma	0	0	0	438	88	2	528	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0004017	12/24/08	220	19107207	2008	PLoS ONE	RA	Global Expression Profiling in Atopic Eczema Reveals Reciprocal Expression of Inflammatory and Lipid Genes	0	0	0	558	188	5	751	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003917	12/18/08	226	19093005	2008	PLoS ONE	RA	Olig2-Induced Neural Stem Cell Differentiation Involves Downregulation of Wnt Signaling and Induction of Dickkopf-1 Expression	0	0	0	705	281	3	989	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003964	12/17/08	227	19088852	2008	PLoS ONE	RA	The Cerebral Microvasculature in Schizophrenia: A Laser Capture Microdissection Study	1	0	1	605	199	5	809	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003943	12/15/08	229	19079774	2008	PLoS ONE	RA	Identification of G1-Regulated Genes in Normally Cycling Human Cells	0	0	0	525	154	5	684	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003923	12/12/08	232	19079590	2008	PLoS ONE	RA	Media Ion Composition Controls Regulatory and Virulence Response of Salmonella in Spaceflight	2	0	0	1204	162	12	1378	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003932	12/11/08	233	19079543	2008	PLoS ONE	RA	Stat3 and c-Myc Genome-Wide Promoter Occupancy in Embryonic Stem Cells	0	3	3	1487	719	19	2225	0	0	0	0	0	1	0	0	0	0	0	0	0
10.1371/journal.pone.0003726	11/18/08	256	19015728	2008	PLoS ONE	RA	MicroRNA Expression Patterns and Function in Endodermal Differentiation of Human Embryonic Stem Cells	2	2	2	1880	832	29	2741	0	0	0	0	3	0	0	0	0	0	0	0	0
