DOI	Publication Date	Publication Year	Journal	'Research Article' or 'non-Research Article'?	Article Title	Citations - CrossRef	Citations - PubMed Central	Citations - Scopus	Total HTML Page Views	Total PDF Downloads	Total XML Downloads	Combined Usage (HTML + PDF + XML)	Blog Coverage - Postgenomic	Blog Coverage - Nature Blogs	Blog Coverage - Bloglines	Blog Coverage - ResearchBlogging.org	Number of Trackbacks	Social Bookmarking - CiteULike	Social Bookmarking - Connotea	Number of Ratings	Average Rating	Number of Note threads	Number of replies to Notes	Number of Comment threads	Number of replies to Comments	Number of 'Star Ratings' that also include a text comment
10.1371/journal.pbio.0000001	37907	2003	PLoS Biology	RA	A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences	4	6	26	5986	312	71	6369	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000002	37942	2003	PLoS Biology	RA	Viral Discovery and Sequence Recovery Using DNA Microarrays	39	44	126	13129	2149	71	15349	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000003	37942	2003	PLoS Biology	non RA	Gene Chip for Viral Discovery	0	0	1	2821	192	46	3059	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000004	37907	2003	PLoS Biology	non RA	Functional Analysis of RSS Spacers	0	0	0	2808	43	65	2916	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000005	37851	2003	PLoS Biology	RA	The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum	95	124	444	19604	2836	209	22649	0	0	0	0	0	6	6	1	5.0	0	0	0	0	0
10.1371/journal.pbio.0000006	37851	2003	PLoS Biology	RA	DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation	7	0	16	12450	1023	98	13571	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000007	37851	2003	PLoS Biology	non RA	Borneo Elephants: A High Priority for Conservation	0	0	0	6256	334	84	6674	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000008	37907	2003	PLoS Biology	non RA	Genetically Modified Corn? Environmental Benefits and Risks	1	1	4	52548	1383	232	54163	3	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000009	37907	2003	PLoS Biology	non RA	Out of the Way	1	1	0	6334	128	87	6549	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000010	37907	2003	PLoS Biology	RA	The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway	34	28	134	15610	1679	124	17413	0	0	0	0	0	5	2	1	4.3	0	0	0	0	0
10.1371/journal.pbio.0000011	37851	2003	PLoS Biology	non RA	Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells	0	0	0	4525	134	64	4723	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000012	37907	2003	PLoS Biology	RA	Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions	45	76	226	14864	1536	97	16497	0	0	0	0	0	4	0	0	0.0	0	0	0	0	0
